RECUPERADOR DE CALOR:;;
VE80001;RECUPERADOR VMC MUNDOCLIMA ELEGANCE-150; 1.711 € 
CAJA DISTRIBUCIÓN:;;
CA11002;CAJA DE DISTRIBUCIÓN (10 BOCAS X 75MM)  SISTEMA ARIA CONNECT; 183 € 
CONECTOR LATERAL:;;
CA11005;CONECTOR LATERAL 125/160 SISTEMA ARIA CONNECT; 34 € 
ACOPLAMIENTO HORIZONTAL:;;
CA11006;ACOPLAMIENTO HORIZONTAL SISTEMA ARIA CONNECT; 27 € 
ACOPLAMIENTO VERTICAL:;;
CA11007;ACOPLAMIENTO VERTICAL SISTEMA ARIA CONNECT; 27 € 
ROLLO SEMIFLEXIBLE:;;
CA11001;ROLLO 50M CONDUCTO SEMIFLEXIBLE CIRCULAR 75MM  ANTIBACTERIANO ARIA CONNECT; 167 € 
PLENUM:;;
CA11003;PLENUM  (3 BOCAS X 75MM) SISTEMA ARIA CONNECT; 55 € 
CLIP GRIS:;;
CA11052;CLIP GRIS PARA SUJECIÓN TUBOS DE 75MM ARIA CONNECT; 2,00 € 
CLIP ROJO:;;
CA11053;CLIP ROJO PARA SUJECIÓN TUBOS DE 75MM ARIA CONNECT; 2,00 € 
TUBO CONDUCTO AISLADO:;;
CA11020;CONDUCTO AISLANTE 125MM 1 METRO SISTEMA ARIA DURO; 29 € 
CODO 45º CONDUCTO AISLADO:;;
CA11023;CODO 45º 125 MM SISTEMA ARIA DURO; 17 € 
MANGUITO UNION CONDUCTO AISLADO:;;
CA11032;CONECTOR 125MM SISTEMA ARIA DURO; 15 € 
SILENCIADOR:;;
CA11039;SILENCIADOR 125MM SISTEMA ARIA DURO; 80 € 
ABRAZADERA CONDUCTO AISLADO:;;
CA11036;ABRAZADERA 125/160/200 SISTEMA ARIA DURO; 13 € 
BOCAS AUTOREGULABLES:;;
CA11651;BOCA AUTORREGULABLE BAMJ 15 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 25,20 € 
CA11652;BOCA AUTORREGULABLE BAMJ 30 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 25,20 € 
CA11653;BOCA AUTORREGULABLE BAMJ 45 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 25,20 € 
CA11654;BOCA AUTORREGULABLE BAMJ 60 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 25,20 € 
CA11656;BOCA AUTORREGULABLE BAMJ 90 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 25,20 € 
CA11657;BOCA AUTORREGULABLE BAMJ 120 CON MANGUITO JUNTA A CONDUCTO RIGIDO; 28,35 € 
REGULADOR DE CAUDAL CONSTANTE :;;
RP03410;MVF - 125 / 15 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03411;MVF - 125 / 30 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03412;MVF - 125 / 45 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03413;MVF - 125 / 60 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03415;MVF - 125 / 90 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03416;MVF - 125 / 120 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
RP03417;MVF - 125 / 150 REGULADOR DE CAUDAL CONSTANTE; 34,50 € 
BOCAS  NO REGULABLES:;;
CA11712;BOCA EXTRACCION/IMPULSION SLIMV4LVE 125 MANGUITO ANCLAJE; 27,41 € 
RP08002;RONDO - 125 DIFUSOR DE YESO SIN MARCO; 80,00 € 
RP08005;KVADRO - 125 DIFUSOR DE YESO SIN MARCO; 90,00 € 
BOCAS  NO REGULABLES ECONÓMICAS:;;
RP04007;BOCA IMPULSION SR-IM 125  CON CUELLO MONTAJE; 12,70 € 
RP04002;BOCA EXTRACCION SR-125 CON CUELLO MONTAJE; 13,35 € 
